Invoice No,Issue Date,Buyer TIN,Buyer,Currency,Subtotal,VAT,Total,Item,Qty,Unit Price
INV-SYN-00001,2025-01-22,1234567-8901,Ọlá Foods Distribution Plc,NGN,84428.64,6332.15,90760.79,Logistics Services,1,2887.23
INV-SYN-00001,2025-01-22,1234567-8901,Ọlá Foods Distribution Plc,NGN,84428.64,6332.15,90760.79,Maintenance Services,18,3809.09
INV-SYN-00001,2025-01-22,1234567-8901,Ọlá Foods Distribution Plc,NGN,84428.64,6332.15,90760.79,Office Supplies,7,1853.97
INV-SYN-00002,2025-02-05,18001105-8187,Ola Foods Plc,NGN,14787.28,1109.05,15896.33,IT Services,2,4845.82
INV-SYN-00002,2025-02-05,18001105-8187,Ola Foods Plc,NGN,14787.28,1109.05,15896.33,Consulting Services,16,269.76
INV-SYN-00002,2025-02-05,18001105-8187,Ola Foods Plc,NGN,14787.28,1109.05,15896.33,Building Materials,4,194.87
INV-SYN-00003,2025-01-20,04610543-1210,Ola Foods Plc,NGN,91978.92,6898.42,98877.34,Logistics Services,12,484.53
INV-SYN-00003,2025-01-20,04610543-1210,Ola Foods Plc,NGN,91978.92,6898.42,98877.34,Consulting Services,14,3105.90
INV-SYN-00003,2025-01-20,04610543-1210,Ola Foods Plc,NGN,91978.92,6898.42,98877.34,Industrial Equipment,18,2371.22
INV-SYN-00004,2025-11-27,63935615-3036,Chukwuemeka Okafor Ltd,NGN,46084.75,3456.36,49541.11,Logistics Services,8,2477.18
INV-SYN-00004,2025-11-27,63935615-3036,Chukwuemeka Okafor Ltd,NGN,46084.75,3456.36,49541.11,Raw Materials,6,1220.51
INV-SYN-00004,2025-11-27,63935615-3036,Chukwuemeka Okafor Ltd,NGN,46084.75,3456.36,49541.11,Maintenance Services,5,3788.85
INV-SYN-00005,2025-12-05,13993952-2583,Chukwuemeka Okafor Ltd,NGN,74511.00,5588.33,80099.33,Logistics Services,5,1417.52
INV-SYN-00005,2025-12-05,13993952-2583,Chukwuemeka Okafor Ltd,NGN,74511.00,5588.33,80099.33,Industrial Equipment,16,3399.67
INV-SYN-00005,2025-12-05,13993952-2583,Chukwuemeka Okafor Ltd,NGN,74511.00,5588.33,80099.33,Office Supplies,7,1861.24
INV-SYN-00006,2025-10-29,84724202-6460,Chukwuemeka Okàfor Ventures Ltd,NGN,22264.90,1669.87,23934.77,Maintenance Services,5,4295.49
INV-SYN-00006,2025-10-29,84724202-6460,Chukwuemeka Okàfor Ventures Ltd,NGN,22264.90,1669.87,23934.77,Consulting Services,7,47.89
INV-SYN-00006,2025-10-29,84724202-6460,Chukwuemeka Okàfor Ventures Ltd,NGN,22264.90,1669.87,23934.77,Consulting Services,2,226.11
INV-SYN-00007,2025-08-14,37060331-4839,Chukwuemeka Okafor Ltd,NGN,56646.46,4248.48,60894.94,Industrial Equipment,13,3041.28
INV-SYN-00007,2025-08-14,37060331-4839,Chukwuemeka Okafor Ltd,NGN,56646.46,4248.48,60894.94,Industrial Equipment,14,184.77
INV-SYN-00007,2025-08-14,37060331-4839,Chukwuemeka Okafor Ltd,NGN,56646.46,4248.48,60894.94,Office Supplies,16,907.69
INV-SYN-00008,2025-06-18,61272119-0801,Chukwuemeka Okàfor Ventures Ltd,NGN,93726.59,7029.49,100756.08,Industrial Equipment,5,3311.75
INV-SYN-00008,2025-06-18,61272119-0801,Chukwuemeka Okàfor Ventures Ltd,NGN,93726.59,7029.49,100756.08,Building Materials,17,4140.32
INV-SYN-00008,2025-06-18,61272119-0801,Chukwuemeka Okàfor Ventures Ltd,NGN,93726.59,7029.49,100756.08,Industrial Equipment,8,847.80
INV-SYN-00009,2025-09-17,36651808-3667,Ibrahim & Sons Trading Ltd,NGN,38323.23,2874.24,41197.47,Industrial Equipment,3,4788.39
INV-SYN-00009,2025-09-17,36651808-3667,Ibrahim & Sons Trading Ltd,NGN,38323.23,2874.24,41197.47,Building Materials,2,4940.67
INV-SYN-00009,2025-09-17,36651808-3667,Ibrahim & Sons Trading Ltd,NGN,38323.23,2874.24,41197.47,Building Materials,7,2010.96
INV-SYN-00010,2025-01-23,89268625-6868,Emeka Logistics Nigeria Ltd,NGN,114451.42,8583.86,123035.28,Industrial Equipment,8,850.99
INV-SYN-00010,2025-01-23,89268625-6868,Emeka Logistics Nigeria Ltd,NGN,114451.42,8583.86,123035.28,Maintenance Services,16,2219.60
INV-SYN-00010,2025-01-23,89268625-6868,Emeka Logistics Nigeria Ltd,NGN,114451.42,8583.86,123035.28,IT Services,15,4808.66
INV-SYN-00011,2025-04-21,55972363-3736,Lagos Steel & Aluminium Ltd,NGN,29067.76,2180.08,31247.84,Consulting Services,4,54.61
INV-SYN-00011,2025-04-21,55972363-3736,Lagos Steel & Aluminium Ltd,NGN,29067.76,2180.08,31247.84,Office Supplies,6,320.98
INV-SYN-00011,2025-04-21,55972363-3736,Lagos Steel & Aluminium Ltd,NGN,29067.76,2180.08,31247.84,Maintenance Services,12,2243.62
INV-SYN-00012,2025-05-30,60386895-9926,Abuja Construction Materials Ltd,NGN,48752.01,3656.40,52408.41,Logistics Services,4,1801.35
INV-SYN-00012,2025-05-30,60386895-9926,Abuja Construction Materials Ltd,NGN,48752.01,3656.40,52408.41,Industrial Equipment,19,859.59
INV-SYN-00012,2025-05-30,60386895-9926,Abuja Construction Materials Ltd,NGN,48752.01,3656.40,52408.41,Raw Materials,17,1483.20
INV-SYN-00013,2025-11-21,48128948-8084,Port Harcourt Energy Services Ltd,NGN,32840.55,2463.04,35303.59,Industrial Equipment,16,762.57
INV-SYN-00013,2025-11-21,48128948-8084,Port Harcourt Energy Services Ltd,NGN,32840.55,2463.04,35303.59,Raw Materials,1,3317.79
INV-SYN-00013,2025-11-21,48128948-8084,Port Harcourt Energy Services Ltd,NGN,32840.55,2463.04,35303.59,Office Supplies,17,1018.92
INV-SYN-00014,2025-11-05,77490839-0545,Lagos Steel & Aluminium Ltd,NGN,32200.57,2415.04,34615.61,Logistics Services,6,1230.26
INV-SYN-00014,2025-11-05,77490839-0545,Lagos Steel & Aluminium Ltd,NGN,32200.57,2415.04,34615.61,Raw Materials,18,1292.71
INV-SYN-00014,2025-11-05,77490839-0545,Lagos Steel & Aluminium Ltd,NGN,32200.57,2415.04,34615.61,Industrial Equipment,1,1550.23
INV-SYN-00015,2025-03-30,53447932-8831,Kano Textiles Ltd,NGN,145111.17,10883.34,155994.51,IT Services,12,2692.05
INV-SYN-00015,2025-03-30,53447932-8831,Kano Textiles Ltd,NGN,145111.17,10883.34,155994.51,IT Services,19,4072.03
INV-SYN-00015,2025-03-30,53447932-8831,Kano Textiles Ltd,NGN,145111.17,10883.34,155994.51,IT Services,8,4429.75
INV-SYN-00016,2025-04-20,69419267-1154,Chukwuemeka Okafor Ltd,NGN,68015.06,5101.13,73116.19,Industrial Equipment,3,1576.02
