Invoice No,Issue Date,Buyer TIN,Buyer,Currency,Subtotal,VAT,Total,Item,Qty,Unit Price
INV-SYN-00001,2025-05-16,38664803-3473,Yusuf Agro Processing Ltd,NGN,120139.64,9010.47,129150.11,Consulting Services,18,1684.00
INV-SYN-00001,2025-05-16,38664803-3473,Yusuf Agro Processing Ltd,NGN,120139.64,9010.47,129150.11,Consulting Services,7,4112.60
INV-SYN-00001,2025-05-16,38664803-3473,Yusuf Agro Processing Ltd,NGN,120139.64,9010.47,129150.11,Office Supplies,14,4359.96
INV-SYN-00002,2025-03-30,53103476-4344,Abuja Construction Materials Ltd,NGN,19501.16,1462.59,20963.75,Industrial Equipment,14,294.40
INV-SYN-00002,2025-03-30,53103476-4344,Abuja Construction Materials Ltd,NGN,19501.16,1462.59,20963.75,Industrial Equipment,6,1691.02
INV-SYN-00002,2025-03-30,53103476-4344,Abuja Construction Materials Ltd,NGN,19501.16,1462.59,20963.75,Maintenance Services,3,1744.48
INV-SYN-00003,2025-05-17,65746841-8782,Abuja Construction Materials Ltd,NGN,62460.40,4684.53,67144.93,IT Services,4,4633.09
INV-SYN-00003,2025-05-17,65746841-8782,Abuja Construction Materials Ltd,NGN,62460.40,4684.53,67144.93,Maintenance Services,6,1024.04
INV-SYN-00003,2025-05-17,65746841-8782,Abuja Construction Materials Ltd,NGN,62460.40,4684.53,67144.93,Maintenance Services,9,4198.20
INV-SYN-00004,2025-02-27,05090069-9054,Chukwuemeka Okàfor Ventures Ltd,NGN,94353.15,7076.49,101429.64,IT Services,1,359.81
INV-SYN-00004,2025-02-27,05090069-9054,Chukwuemeka Okàfor Ventures Ltd,NGN,94353.15,7076.49,101429.64,Office Supplies,12,2408.42
INV-SYN-00004,2025-02-27,05090069-9054,Chukwuemeka Okàfor Ventures Ltd,NGN,94353.15,7076.49,101429.64,Maintenance Services,14,4649.45
INV-SYN-00005,2025-06-15,75844639-2899,Abuja Construction Materials Ltd,NGN,78154.12,5861.56,84015.68,Industrial Equipment,4,1015.54
INV-SYN-00005,2025-06-15,75844639-2899,Abuja Construction Materials Ltd,NGN,78154.12,5861.56,84015.68,IT Services,18,2356.66
INV-SYN-00005,2025-06-15,75844639-2899,Abuja Construction Materials Ltd,NGN,78154.12,5861.56,84015.68,Office Supplies,8,3959.01
INV-SYN-00001,2025-05-17,38664803-3473,Yusuf Agro Processing Ltd,NGN,120139.64,9010.47,129150.11,Consulting Services,18,1684.00
