Invoice No,Issue Date,Buyer TIN,Buyer,Currency,Subtotal,VAT,Total,Item,Qty,Unit Price
INV-SYN-00001,2025-02-23,97582321-5424,Ibrahim & Sons Trading Ltd,NGN,41482.43,3111.18,44593.61,Industrial Equipment,6,2350.87
INV-SYN-00001,2025-02-23,97582321-5424,Ibrahim & Sons Trading Ltd,NGN,41482.43,3111.18,44593.61,Consulting Services,11,995.23
INV-SYN-00001,2025-02-23,97582321-5424,Ibrahim & Sons Trading Ltd,NGN,41482.43,3111.18,44593.61,Office Supplies,18,912.76
INV-SYN-00002,2025-10-05,50984727-5740,Abuja Construction Materials Ltd,NGN,43633.11,3272.48,46905.59,Office Supplies,5,2413.75
INV-SYN-00002,2025-10-05,50984727-5740,Abuja Construction Materials Ltd,NGN,43633.11,3272.48,46905.59,Maintenance Services,2,2631.02
INV-SYN-00002,2025-10-05,50984727-5740,Abuja Construction Materials Ltd,NGN,43633.11,3272.48,46905.59,IT Services,8,3287.79
INV-SYN-00003,2025-05-17,26816748-1657,Port Harcourt Energy Services Ltd,NGN,92906.29,6967.97,99874.26,Building Materials,17,376.12
INV-SYN-00003,2025-05-17,26816748-1657,Port Harcourt Energy Services Ltd,NGN,92906.29,6967.97,99874.26,Maintenance Services,13,3125.29
INV-SYN-00003,2025-05-17,26816748-1657,Port Harcourt Energy Services Ltd,NGN,92906.29,6967.97,99874.26,Raw Materials,19,2414.92
INV-SYN-00004,2025-06-04,14369339-6457,Lagos Steel & Aluminium Ltd,NGN,168537.89,12640.34,181178.23,Industrial Equipment,17,2438.28
INV-SYN-00004,2025-06-04,14369339-6457,Lagos Steel & Aluminium Ltd,NGN,168537.89,12640.34,181178.23,Logistics Services,16,4696.66
INV-SYN-00004,2025-06-04,14369339-6457,Lagos Steel & Aluminium Ltd,NGN,168537.89,12640.34,181178.23,Office Supplies,11,4721.87
INV-SYN-00005,2025-12-12,62848588-2706,Port Harcourt Energy Services Ltd,NGN,102098.45,7657.38,109755.83,IT Services,4,1352.38
INV-SYN-00005,2025-12-12,62848588-2706,Port Harcourt Energy Services Ltd,NGN,102098.45,7657.38,109755.83,Logistics Services,19,4667.31
INV-SYN-00005,2025-12-12,62848588-2706,Port Harcourt Energy Services Ltd,NGN,102098.45,7657.38,109755.83,Industrial Equipment,4,2002.51
INV-SYN-00006,2025-06-23,32083154-3485,Chukwuemeka Okafor Ltd,NGN,50343.33,3775.75,54119.08,Maintenance Services,9,4651.31
INV-SYN-00006,2025-06-23,32083154-3485,Chukwuemeka Okafor Ltd,NGN,50343.33,3775.75,54119.08,IT Services,20,152.79
INV-SYN-00006,2025-06-23,32083154-3485,Chukwuemeka Okafor Ltd,NGN,50343.33,3775.75,54119.08,Consulting Services,18,301.43
INV-SYN-00007,2025-05-11,93184327-9635,Port Harcourt Energy Services Ltd,NGN,80959.63,6071.97,87031.60,IT Services,15,2666.81
INV-SYN-00007,2025-05-11,93184327-9635,Port Harcourt Energy Services Ltd,NGN,80959.63,6071.97,87031.60,IT Services,8,3909.99
INV-SYN-00007,2025-05-11,93184327-9635,Port Harcourt Energy Services Ltd,NGN,80959.63,6071.97,87031.60,Consulting Services,4,2419.39
INV-SYN-00008,2025-04-01,16399583-3973,Ọlá Foods Distribution Plc,NGN,44726.49,3354.49,48080.98,Building Materials,12,144.06
INV-SYN-00008,2025-04-01,16399583-3973,Ọlá Foods Distribution Plc,NGN,44726.49,3354.49,48080.98,Consulting Services,6,4141.23
INV-SYN-00008,2025-04-01,16399583-3973,Ọlá Foods Distribution Plc,NGN,44726.49,3354.49,48080.98,Office Supplies,9,2016.71
INV-SYN-00009,2025-10-09,93607202-7753,Chukwuemeka Okafor Ltd,NGN,75551.14,5666.34,81217.48,Industrial Equipment,20,3019.88
INV-SYN-00009,2025-10-09,93607202-7753,Chukwuemeka Okafor Ltd,NGN,75551.14,5666.34,81217.48,Raw Materials,6,2121.69
INV-SYN-00009,2025-10-09,93607202-7753,Chukwuemeka Okafor Ltd,NGN,75551.14,5666.34,81217.48,Building Materials,7,346.20
INV-SYN-00010,2025-11-07,90737117-6708,Ibrahim & Sons Trading Ltd,NGN,116270.88,8720.32,124991.20,Maintenance Services,17,1934.01
INV-SYN-00010,2025-11-07,90737117-6708,Ibrahim & Sons Trading Ltd,NGN,116270.88,8720.32,124991.20,Office Supplies,11,2997.06
INV-SYN-00010,2025-11-07,90737117-6708,Ibrahim & Sons Trading Ltd,NGN,116270.88,8720.32,124991.20,Consulting Services,19,2653.95
INV-SYN-00011,2025-03-16,30267473-0858,Port Harcourt Energy Services Ltd,NGN,145347.90,10901.09,156248.99,IT Services,8,1528.24
INV-SYN-00011,2025-03-16,30267473-0858,Port Harcourt Energy Services Ltd,NGN,145347.90,10901.09,156248.99,Maintenance Services,19,3918.45
INV-SYN-00011,2025-03-16,30267473-0858,Port Harcourt Energy Services Ltd,NGN,145347.90,10901.09,156248.99,Maintenance Services,19,3087.97
INV-SYN-00012,2025-12-14,08893509-8256,Ibrahim & Sons Trading Ltd,NGN,163636.03,12272.70,175908.73,Raw Materials,15,4549.17
INV-SYN-00012,2025-12-14,08893509-8256,Ibrahim & Sons Trading Ltd,NGN,163636.03,12272.70,175908.73,Raw Materials,6,743.48
INV-SYN-00012,2025-12-14,08893509-8256,Ibrahim & Sons Trading Ltd,NGN,163636.03,12272.70,175908.73,Logistics Services,20,4546.88
INV-SYN-00013,2025-01-31,05063177-1263,Port Harcourt Energy Services Ltd,NGN,70258.77,5269.41,75528.18,Industrial Equipment,6,4376.84
INV-SYN-00013,2025-01-31,05063177-1263,Port Harcourt Energy Services Ltd,NGN,70258.77,5269.41,75528.18,Building Materials,18,1959.46
INV-SYN-00013,2025-01-31,05063177-1263,Port Harcourt Energy Services Ltd,NGN,70258.77,5269.41,75528.18,Industrial Equipment,15,581.83
INV-SYN-00014,2025-06-24,12462747-0642,Adeyemi Trading Company Ltd,NGN,56289.46,4221.71,60511.17,Office Supplies,3,298.29
INV-SYN-00014,2025-06-24,12462747-0642,Adeyemi Trading Company Ltd,NGN,56289.46,4221.71,60511.17,Maintenance Services,13,4235.11
INV-SYN-00014,2025-06-24,12462747-0642,Adeyemi Trading Company Ltd,NGN,56289.46,4221.71,60511.17,Consulting Services,1,338.16
INV-SYN-00015,2025-08-07,18555803-9862,Yusuf Agro Processing Ltd,NGN,46892.74,3516.96,50409.70,Consulting Services,10,111.29
INV-SYN-00015,2025-08-07,18555803-9862,Yusuf Agro Processing Ltd,NGN,46892.74,3516.96,50409.70,Raw Materials,14,2381.36
INV-SYN-00015,2025-08-07,18555803-9862,Yusuf Agro Processing Ltd,NGN,46892.74,3516.96,50409.70,Raw Materials,20,622.04
INV-SYN-00016,2025-02-04,72016876-4333,Kano Textiles Ltd,NGN,110295.05,8272.13,118567.18,Raw Materials,15,2199.67
INV-SYN-00016,2025-02-04,72016876-4333,Kano Textiles Ltd,NGN,110295.05,8272.13,118567.18,Logistics Services,16,2815.20
INV-SYN-00016,2025-02-04,72016876-4333,Kano Textiles Ltd,NGN,110295.05,8272.13,118567.18,Logistics Services,16,2016.05
INV-SYN-00017,2025-12-17,94979550-1939,Abuja Construction Materials Ltd,NGN,100689.81,7551.74,108241.55,Industrial Equipment,10,1385.89
INV-SYN-00017,2025-12-17,94979550-1939,Abuja Construction Materials Ltd,NGN,100689.81,7551.74,108241.55,IT Services,17,2175.52
INV-SYN-00017,2025-12-17,94979550-1939,Abuja Construction Materials Ltd,NGN,100689.81,7551.74,108241.55,Logistics Services,13,3834.39
INV-SYN-00018,2025-12-03,11236320-9498,Ola Foods Plc,NGN,64883.14,4866.24,69749.38,Consulting Services,2,3851.30
INV-SYN-00018,2025-12-03,11236320-9498,Ola Foods Plc,NGN,64883.14,4866.24,69749.38,Office Supplies,9,4937.58
INV-SYN-00018,2025-12-03,11236320-9498,Ola Foods Plc,NGN,64883.14,4866.24,69749.38,Consulting Services,8,1592.79
INV-SYN-00019,2025-09-07,68247640-6074,Abuja Construction Materials Ltd,NGN,62190.00,4664.25,66854.25,IT Services,2,3750.58
INV-SYN-00019,2025-09-07,68247640-6074,Abuja Construction Materials Ltd,NGN,62190.00,4664.25,66854.25,Office Supplies,19,739.56
INV-SYN-00019,2025-09-07,68247640-6074,Abuja Construction Materials Ltd,NGN,62190.00,4664.25,66854.25,Building Materials,10,4063.72
