Invoice No,Issue Date,Buyer TIN,Buyer,Currency,Subtotal,VAT,Total,Item,Qty,Unit Price
INV-SYN-00001,2025-05-16,70567108-9468,Chukwuemeka Okàfor Ventures Ltd,NGN,140368.76,10527.66,150896.42,Office Supplies,12,4580.13
INV-SYN-00001,2025-05-16,70567108-9468,Chukwuemeka Okàfor Ventures Ltd,NGN,140368.76,10527.66,150896.42,IT Services,20,1767.31
INV-SYN-00001,2025-05-16,70567108-9468,Chukwuemeka Okàfor Ventures Ltd,NGN,140368.76,10527.66,150896.42,Office Supplies,15,3337.40
INV-SYN-00002,2025-04-08,31435878-7427,Ọlá Foods Distribution Plc,NGN,141245.90,10593.44,151839.34,IT Services,13,1885.99
INV-SYN-00002,2025-04-08,31435878-7427,Ọlá Foods Distribution Plc,NGN,141245.90,10593.44,151839.34,Logistics Services,15,3743.97
INV-SYN-00002,2025-04-08,31435878-7427,Ọlá Foods Distribution Plc,NGN,141245.90,10593.44,151839.34,Industrial Equipment,14,4326.32
INV-SYN-00003,2025-12-31,93352654-7536,Ibrahim & Sons Trading Ltd,NGN,98101.50,7357.61,105459.11,Building Materials,7,1452.70
INV-SYN-00003,2025-12-31,93352654-7536,Ibrahim & Sons Trading Ltd,NGN,98101.50,7357.61,105459.11,Building Materials,16,1178.10
INV-SYN-00003,2025-12-31,93352654-7536,Ibrahim & Sons Trading Ltd,NGN,98101.50,7357.61,105459.11,Raw Materials,20,3454.15
INV-SYN-00004,2025-05-10,61537256-6948,Adeyemi Trading Company Ltd,NGN,62225.61,4666.92,66892.53,IT Services,2,1716.48
INV-SYN-00004,2025-05-10,61537256-6948,Adeyemi Trading Company Ltd,NGN,62225.61,4666.92,66892.53,Consulting Services,11,4327.83
INV-SYN-00004,2025-05-10,61537256-6948,Adeyemi Trading Company Ltd,NGN,62225.61,4666.92,66892.53,Office Supplies,12,932.21
INV-SYN-00005,2025-04-15,80150951-8230,Chukwuemeka Okàfor Ventures Ltd,NGN,13901.84,1042.64,14944.48,Raw Materials,1,3012.62
INV-SYN-00005,2025-04-15,80150951-8230,Chukwuemeka Okàfor Ventures Ltd,NGN,13901.84,1042.64,14944.48,Building Materials,2,3170.03
INV-SYN-00005,2025-04-15,80150951-8230,Chukwuemeka Okàfor Ventures Ltd,NGN,13901.84,1042.64,14944.48,IT Services,14,324.94
INV-SYN-00006,2025-03-09,21189246-3178,Ola Foods Plc,NGN,119604.32,8970.32,128574.64,Raw Materials,4,4598.92
INV-SYN-00006,2025-03-09,21189246-3178,Ola Foods Plc,NGN,119604.32,8970.32,128574.64,IT Services,16,3232.30
INV-SYN-00006,2025-03-09,21189246-3178,Ola Foods Plc,NGN,119604.32,8970.32,128574.64,Industrial Equipment,16,3093.24
INV-SYN-00007,2025-07-26,58315203-6435,Ola Foods Plc,NGN,67232.34,5042.43,72274.77,Logistics Services,19,1126.41
INV-SYN-00007,2025-07-26,58315203-6435,Ola Foods Plc,NGN,67232.34,5042.43,72274.77,Maintenance Services,20,110.09
INV-SYN-00007,2025-07-26,58315203-6435,Ola Foods Plc,NGN,67232.34,5042.43,72274.77,Industrial Equipment,11,3966.25
INV-SYN-00008,2025-07-10,74845720-4190,Yusuf Agro Processing Ltd,NGN,125149.34,9386.20,134535.54,Office Supplies,7,2791.42
INV-SYN-00008,2025-07-10,74845720-4190,Yusuf Agro Processing Ltd,NGN,125149.34,9386.20,134535.54,Industrial Equipment,14,2073.11
INV-SYN-00008,2025-07-10,74845720-4190,Yusuf Agro Processing Ltd,NGN,125149.34,9386.20,134535.54,Office Supplies,18,4254.77
INV-SYN-00009,2025-07-07,04923269-3256,Yusuf Agro Processing Ltd,NGN,70457.55,5284.32,75741.87,Office Supplies,9,591.21
INV-SYN-00009,2025-07-07,04923269-3256,Yusuf Agro Processing Ltd,NGN,70457.55,5284.32,75741.87,Consulting Services,9,4581.44
INV-SYN-00009,2025-07-07,04923269-3256,Yusuf Agro Processing Ltd,NGN,70457.55,5284.32,75741.87,Logistics Services,5,4780.74
INV-SYN-00010,2025-07-12,26520135-7711,Ibrahim & Sons Trading Ltd,NGN,179201.16,13440.09,192641.25,IT Services,20,4969.57
INV-SYN-00010,2025-07-12,26520135-7711,Ibrahim & Sons Trading Ltd,NGN,179201.16,13440.09,192641.25,Maintenance Services,14,1799.28
INV-SYN-00010,2025-07-12,26520135-7711,Ibrahim & Sons Trading Ltd,NGN,179201.16,13440.09,192641.25,Office Supplies,11,4965.44
INV-SYN-00011,2025-05-30,35001216-2573,Chukwuemeka Okàfor Ventures Ltd,NGN,103540.63,7765.55,111306.18,Consulting Services,13,2270.66
INV-SYN-00011,2025-05-30,35001216-2573,Chukwuemeka Okàfor Ventures Ltd,NGN,103540.63,7765.55,111306.18,Industrial Equipment,8,4744.46
INV-SYN-00011,2025-05-30,35001216-2573,Chukwuemeka Okàfor Ventures Ltd,NGN,103540.63,7765.55,111306.18,Raw Materials,19,1898.23
INV-SYN-00012,2025-10-28,91652483-2679,Yusuf Agro Processing Ltd,NGN,96176.64,7213.25,103389.89,IT Services,8,3392.20
INV-SYN-00012,2025-10-28,91652483-2679,Yusuf Agro Processing Ltd,NGN,96176.64,7213.25,103389.89,Office Supplies,16,4021.90
INV-SYN-00012,2025-10-28,91652483-2679,Yusuf Agro Processing Ltd,NGN,96176.64,7213.25,103389.89,Office Supplies,2,2344.32
INV-SYN-00013,2025-09-18,50445628-3325,Ibrahim & Sons Trading Ltd,NGN,56235.27,4217.65,60452.92,Maintenance Services,3,3369.90
INV-SYN-00013,2025-09-18,50445628-3325,Ibrahim & Sons Trading Ltd,NGN,56235.27,4217.65,60452.92,IT Services,13,3041.27
INV-SYN-00013,2025-09-18,50445628-3325,Ibrahim & Sons Trading Ltd,NGN,56235.27,4217.65,60452.92,Raw Materials,2,3294.53
INV-SYN-00014,2025-12-18,14736161-6807,Port Harcourt Energy Services Ltd,NGN,148408.64,11130.65,159539.29,Maintenance Services,14,3872.09
INV-SYN-00014,2025-12-18,14736161-6807,Port Harcourt Energy Services Ltd,NGN,148408.64,11130.65,159539.29,Logistics Services,14,3370.29
INV-SYN-00014,2025-12-18,14736161-6807,Port Harcourt Energy Services Ltd,NGN,148408.64,11130.65,159539.29,Office Supplies,11,4274.12
INV-SYN-00015,2025-10-03,62219499-1932,Abuja Construction Materials Ltd,NGN,71300.82,5347.56,76648.38,Industrial Equipment,20,1727.78
INV-SYN-00015,2025-10-03,62219499-1932,Abuja Construction Materials Ltd,NGN,71300.82,5347.56,76648.38,Building Materials,1,3631.94
INV-SYN-00015,2025-10-03,62219499-1932,Abuja Construction Materials Ltd,NGN,71300.82,5347.56,76648.38,Raw Materials,12,2759.44
INV-SYN-00016,2025-09-30,67822829-4891,Ola Foods Plc,NGN,61089.41,4581.71,65671.12,Maintenance Services,12,4531.62
INV-SYN-00016,2025-09-30,67822829-4891,Ola Foods Plc,NGN,61089.41,4581.71,65671.12,Logistics Services,1,4749.16
INV-SYN-00016,2025-09-30,67822829-4891,Ola Foods Plc,NGN,61089.41,4581.71,65671.12,Building Materials,1,1960.81
INV-SYN-00017,2025-05-05,72539217-2559,Yusuf Agro Processing Ltd,NGN,85778.23,6433.37,92211.60,Logistics Services,13,4058.30
INV-SYN-00017,2025-05-05,72539217-2559,Yusuf Agro Processing Ltd,NGN,85778.23,6433.37,92211.60,Building Materials,7,3659.30
INV-SYN-00017,2025-05-05,72539217-2559,Yusuf Agro Processing Ltd,NGN,85778.23,6433.37,92211.60,Logistics Services,3,2468.41
INV-SYN-00018,2025-03-05,36673498-0001,Port Harcourt Energy Services Ltd,NGN,74772.85,5607.96,80380.81,Building Materials,11,2709.64
INV-SYN-00018,2025-03-05,36673498-0001,Port Harcourt Energy Services Ltd,NGN,74772.85,5607.96,80380.81,Maintenance Services,3,2731.60
INV-SYN-00018,2025-03-05,36673498-0001,Port Harcourt Energy Services Ltd,NGN,74772.85,5607.96,80380.81,IT Services,11,3342.91
INV-SYN-00019,2025-08-10,03938566-4725,Adeyemi Trading Company Ltd,NGN,44720.15,3354.01,48074.16,Maintenance Services,1,3565.74
INV-SYN-00019,2025-08-10,03938566-4725,Adeyemi Trading Company Ltd,NGN,44720.15,3354.01,48074.16,Building Materials,20,2025.87
INV-SYN-00019,2025-08-10,03938566-4725,Adeyemi Trading Company Ltd,NGN,44720.15,3354.01,48074.16,Office Supplies,11,57.91
INV-SYN-00020,2025-04-30,60229774-2374,Kano Textiles Ltd,NGN,66275.03,4970.63,71245.66,Consulting Services,19,418.61
INV-SYN-00020,2025-04-30,60229774-2374,Kano Textiles Ltd,NGN,66275.03,4970.63,71245.66,Industrial Equipment,8,3613.65
INV-SYN-00020,2025-04-30,60229774-2374,Kano Textiles Ltd,NGN,66275.03,4970.63,71245.66,Maintenance Services,12,2451.02
INV-SYN-00021,2025-08-06,67394549-2456,Port Harcourt Energy Services Ltd,NGN,39738.60,2980.40,42719.00,Consulting Services,10,2700.64
INV-SYN-00021,2025-08-06,67394549-2456,Port Harcourt Energy Services Ltd,NGN,39738.60,2980.40,42719.00,Logistics Services,14,496.20
INV-SYN-00021,2025-08-06,67394549-2456,Port Harcourt Energy Services Ltd,NGN,39738.60,2980.40,42719.00,Raw Materials,2,2892.70
INV-SYN-00022,2025-03-10,26916821-4113,Chukwuemeka Okàfor Ventures Ltd,NGN,95636.59,7172.74,102809.33,Maintenance Services,8,1704.98
INV-SYN-00022,2025-03-10,26916821-4113,Chukwuemeka Okàfor Ventures Ltd,NGN,95636.59,7172.74,102809.33,Building Materials,15,3174.73
INV-SYN-00022,2025-03-10,26916821-4113,Chukwuemeka Okàfor Ventures Ltd,NGN,95636.59,7172.74,102809.33,IT Services,15,2291.72
INV-SYN-00023,2025-02-22,25222627-8932,Kano Textiles Ltd,NGN,83038.72,6227.90,89266.62,Consulting Services,18,1472.34
INV-SYN-00023,2025-02-22,25222627-8932,Kano Textiles Ltd,NGN,83038.72,6227.90,89266.62,IT Services,13,4193.72
INV-SYN-00023,2025-02-22,25222627-8932,Kano Textiles Ltd,NGN,83038.72,6227.90,89266.62,IT Services,7,288.32
INV-SYN-00024,2025-01-28,79020157-9949,Abuja Construction Materials Ltd,NGN,46471.88,3485.39,49957.27,Maintenance Services,6,2027.02
